loss,n,k,N,seed,d,run_dir,best_margin_in_run
SigLIP,220,2,24090,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_220_k_2_N_24090_seed_0/d_15,0.036288222298026085
SigLIP,220,2,24090,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_220_k_2_N_24090_seed_0/d_20,0.0561392568051815
SigLIP,220,2,24090,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_220_k_2_N_24090_seed_0/d_25,0.07403801381587982
SigLIP,220,2,24090,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_220_k_2_N_24090_seed_0/d_30,0.08876393735408783
SigLIP,220,2,24090,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_220_k_2_N_24090_seed_0/d_5,-0.0030401945114135742
SigLIP,240,2,28680,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_240_k_2_N_28680_seed_0/d_15,0.034896304830908775
SigLIP,240,2,28680,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_240_k_2_N_28680_seed_0/d_20,0.05248383805155754
SigLIP,240,2,28680,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_240_k_2_N_28680_seed_0/d_25,0.06950758397579193
SigLIP,240,2,28680,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_240_k_2_N_28680_seed_0/d_30,0.0882163941860199
SigLIP,240,2,28680,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_240_k_2_N_28680_seed_0/d_5,-0.002815335988998413
SigLIP,40,2,780,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_40_k_2_N_780_seed_0/d_15,0.11780628189444542
SigLIP,40,2,780,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_40_k_2_N_780_seed_0/d_20,0.16284921765327454
SigLIP,40,2,780,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_40_k_2_N_780_seed_0/d_25,0.1864406019449234
SigLIP,40,2,780,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_40_k_2_N_780_seed_0/d_30,0.19848865270614624
SigLIP,40,2,780,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_40_k_2_N_780_seed_0/d_5,-0.001962261158041656
SigLIP,60,2,1770,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_60_k_2_N_1770_seed_0/d_15,0.08277326822280884
SigLIP,60,2,1770,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_60_k_2_N_1770_seed_0/d_20,0.12390204146504402
SigLIP,60,2,1770,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_60_k_2_N_1770_seed_0/d_25,0.15289641171693802
SigLIP,60,2,1770,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_60_k_2_N_1770_seed_0/d_30,0.17370232939720154
SigLIP,60,2,1770,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_60_k_2_N_1770_seed_0/d_5,-0.0028061725897714496
SigLIP,80,2,3160,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_80_k_2_N_3160_seed_0/d_15,0.07016705349087715
