loss,n,N,d,positive_score_minimum,negative_score_maximum,extrema_midpoint_threshold,margin,false_positive_count,negative_count,false_positive_rate,false_negative_count,positive_count,false_negative_rate
InfoNCE,80,3160,13,0.44229790568351746,0.6326509118080139,0.5374744087457657,-0.19035300612449646,562,246480,0.0022801038623823434,1225,6320,0.19382911392405064
InfoNCE,80,3160,14,0.4538280963897705,0.6124565005302429,0.5331422984600067,-0.1586284041404724,179,246480,0.0007262252515417072,868,6320,0.13734177215189874
InfoNCE,80,3160,15,0.4489111602306366,0.5841414332389832,0.5165262967348099,-0.13523027300834656,137,246480,0.0005558260305095748,480,6320,0.0759493670886076
InfoNCE,80,3160,16,0.45059409737586975,0.5547757148742676,0.5026849061250687,-0.10418161749839783,77,246480,0.0003123985718922428,200,6320,0.03164556962025317
InfoNCE,80,3160,17,0.44465067982673645,0.5320141911506653,0.48833243548870087,-0.08736351132392883,39,246480,0.00015822784810126583,78,6320,0.012341772151898734
InfoNCE,80,3160,18,0.44277486205101013,0.523288905620575,0.48303188383579254,-0.08051404356956482,8,246480,3.2456994482310936e-05,57,6320,0.009018987341772151
InfoNCE,80,3160,19,0.43700018525123596,0.4919641613960266,0.4644821733236313,-0.05496397614479065,10,246480,4.057124310288867e-05,8,6320,0.0012658227848101266
InfoNCE,80,3160,20,0.43435320258140564,0.46273693442344666,0.44854506850242615,-0.028383731842041016,6,246480,2.4342745861733204e-05,2,6320,0.00031645569620253165
InfoNCE,80,3160,21,0.44204869866371155,0.44438815116882324,0.4432184249162674,-0.0023394525051116943,1,246480,4.057124310288867e-06,2,6320,0.00031645569620253165
InfoNCE,80,3160,22,0.4522649049758911,0.4407958388328552,0.44653037190437317,0.011469066143035889,0,246480,0.0,0,6320,0.0
InfoNCE,80,3160,23,0.443914532661438,0.4228733777999878,0.4333939552307129,0.021041154861450195,0,246480,0.0,0,6320,0.0
InfoNCE,80,3160,24,0.44485920667648315,0.40181565284729004,0.4233374297618866,0.043043553829193115,0,246480,0.0,0,6320,0.0
InfoNCE,80,3160,25,0.4385770261287689,0.3827885091304779,0.4106827676296234,0.055788516998291016,0,246480,0.0,0,6320,0.0
InfoNCE,80,3160,26,0.43360617756843567,0.38326171040534973,0.4084339439868927,0.05034446716308594,0,246480,0.0,0,6320,0.0
InfoNCE,80,3160,27,0.45028260350227356,0.3776669502258301,0.4139747768640518,0.07261565327644348,0,246480,0.0,0,6320,0.0
InfoNCE,80,3160,28,0.43755483627319336,0.3769926130771637,0.40727372467517853,0.06056222319602966,0,246480,0.0,0,6320,0.0
InfoNCE,80,3160,29,0.45662450790405273,0.34239715337753296,0.39951083064079285,0.11422735452651978,0,246480,0.0,0,6320,0.0
InfoNCE,80,3160,30,0.4382101595401764,0.3386670649051666,0.3884386122226715,0.09954309463500977,0,246480,0.0,0,6320,0.0
InfoNCE,100,4950,5,0.41297635436058044,0.9622074961662292,0.6875919252634048,-0.5492311418056488,2637,485100,0.005435992578849721,9116,9900,0.9208080808080809
InfoNCE,100,4950,6,0.40897470712661743,0.9482069611549377,0.6785908341407776,-0.5392322540283203,1865,485100,0.003844568130282416,9152,9900,0.9244444444444444
InfoNCE,100,4950,7,0.3967432677745819,0.9313199520111084,0.6640316098928452,-0.5345766842365265,1951,485100,0.004021851164708308,8846,9900,0.8935353535353535
InfoNCE,100,4950,8,0.38378873467445374,0.8583597540855408,0.6210742443799973,-0.47457101941108704,2290,485100,0.004720676149247578,7858,9900,0.7937373737373737
InfoNCE,100,4950,9,0.41160109639167786,0.821196436882019,0.6163987666368484,-0.4095953404903412,1902,485100,0.003920841063698207,7162,9900,0.7234343434343434
InfoNCE,100,4950,10,0.4208931624889374,0.7861353754997253,0.6035142689943314,-0.36524221301078796,1851,485100,0.003815708101422387,6150,9900,0.6212121212121212
InfoNCE,100,4950,11,0.4429299235343933,0.7249126434326172,0.5839212834835052,-0.2819827198982239,1766,485100,0.003640486497629355,4900,9900,0.494949494949495
InfoNCE,100,4950,12,0.4412035048007965,0.700935959815979,0.5710697323083878,-0.2597324550151825,1386,485100,0.002857142857142857,3788,9900,0.38262626262626265
InfoNCE,100,4950,13,0.4415096938610077,0.6787577867507935,0.5601337403059006,-0.23724809288978577,1141,485100,0.0023520923520923523,2896,9900,0.2925252525252525
InfoNCE,100,4950,14,0.4399646520614624,0.6560677289962769,0.5480161905288696,-0.21610307693481445,697,485100,0.0014368171511028654,2172,9900,0.2193939393939394
InfoNCE,100,4950,15,0.44334864616394043,0.6213627457618713,0.5323556959629059,-0.1780140995979309,385,485100,0.0007936507936507937,1267,9900,0.12797979797979797
InfoNCE,100,4950,16,0.4531034529209137,0.591289222240448,0.5221963375806808,-0.1381857693195343,197,485100,0.00040610183467326325,828,9900,0.08363636363636363
InfoNCE,100,4950,17,0.4375166893005371,0.5648115873336792,0.5011641383171082,-0.1272948980331421,179,485100,0.00036899608328179754,318,9900,0.03212121212121212
InfoNCE,100,4950,18,0.4330706298351288,0.5564801692962646,0.4947753995656967,-0.12340953946113586,69,485100,0.0001422387136672851,136,9900,0.013737373737373737
InfoNCE,100,4950,19,0.42096492648124695,0.5133746266365051,0.46716977655887604,-0.09240970015525818,110,485100,0.00022675736961451248,30,9900,0.0030303030303030303
InfoNCE,100,4950,20,0.43160462379455566,0.5040191411972046,0.4678118824958801,-0.07241451740264893,29,485100,5.9781488352916925e-05,28,9900,0.0028282828282828283
