loss,n,N,d,positive_score_mean,negative_score_mean,midpoint_threshold,false_positive_count,negative_count,false_positive_rate,false_negative_count,positive_count,false_negative_rate
InfoNCE,100,4950,26,0.6587890985126447,-0.013052336896150782,0.3228683808082469,2206,485100,0.004547515976087405,0,9900,0.0
InfoNCE,100,4950,27,0.6584366552486565,-0.013211603799200325,0.3226125257247281,1444,485100,0.002976705833848691,0,9900,0.0
InfoNCE,100,4950,28,0.6573570458455519,-0.013110744549995374,0.32212315064777824,767,485100,0.0015811172954030097,0,9900,0.0
InfoNCE,100,4950,29,0.6579258344751416,-0.013093775529605025,0.3224160294727683,433,485100,0.0008925994640280355,0,9900,0.0
InfoNCE,100,4950,30,0.6572058539017283,-0.01317646537222836,0.32201469426474993,289,485100,0.00059575345289631,0,9900,0.0
InfoNCE,120,7140,5,0.5249849494160558,-0.008610391668420857,0.2581872788738175,311914,842520,0.3702155438446565,0,14280,0.0
InfoNCE,120,7140,6,0.5428407618708136,-0.009257469435952615,0.2667916462174305,275220,842520,0.3266628685372454,0,14280,0.0
InfoNCE,120,7140,7,0.5518188454586418,-0.009617297956567808,0.27110077375103697,240890,842520,0.28591606133979014,0,14280,0.0
InfoNCE,120,7140,8,0.5712671466610011,-0.010468118075311866,0.2803995142928446,205867,842520,0.24434672173954328,0,14280,0.0
InfoNCE,120,7140,9,0.5807579135443984,-0.010722535916869667,0.2850176888137644,179686,842520,0.21327208849641552,0,14280,0.0
InfoNCE,120,7140,10,0.5851681374326474,-0.011378519885462368,0.2868948087735925,161691,842520,0.19191354507904856,0,14280,0.0
InfoNCE,120,7140,11,0.6150708963932777,-0.010525569277266401,0.30227266355800564,143548,842520,0.17037933817594836,0,14280,0.0
InfoNCE,120,7140,12,0.6253179261664382,-0.010566756927852076,0.3073755846192931,127975,842520,0.15189550396429757,0,14280,0.0
InfoNCE,120,7140,13,0.6340018191445275,-0.010592998366975177,0.31170441038877617,114085,842520,0.13540924844514077,0,14280,0.0
InfoNCE,120,7140,14,0.6421558726944175,-0.01063215362959669,0.3157618595324104,100831,842520,0.11967787114845939,0,14280,0.0
InfoNCE,120,7140,15,0.6452464695925973,-0.010738532042141155,0.3172539687752281,92389,842520,0.10965793096899777,0,14280,0.0
InfoNCE,120,7140,16,0.6472124449261765,-0.01070735668292359,0.31825254412162646,83419,842520,0.09901129943502825,0,14280,0.0
InfoNCE,120,7140,17,0.6540670198490138,-0.010900582714419842,0.321583218567297,71029,842520,0.08430541708208707,0,14280,0.0
InfoNCE,120,7140,18,0.6555275551891293,-0.010735164009177539,0.3223961955899759,62544,842520,0.07423443953852728,0,14280,0.0
InfoNCE,120,7140,19,0.656752816201592,-0.010715706251775871,0.32301855497490806,53919,842520,0.06399729383278735,0,14280,0.0
InfoNCE,120,7140,20,0.6595147829617606,-0.010882940788789933,0.3243159210864853,42969,842520,0.05100056971941319,0,14280,0.0
InfoNCE,120,7140,21,0.6583222151741761,-0.010909977714912816,0.3237061187296316,34278,842520,0.04068508759435978,0,14280,0.0
InfoNCE,120,7140,22,0.6584680272751495,-0.01090777984877039,0.3237801237131896,27058,842520,0.032115558087641834,0,14280,0.0
InfoNCE,120,7140,23,0.6582919224700173,-0.011015492290183514,0.3236382150899169,20311,842520,0.024107439586003893,0,14280,0.0
InfoNCE,120,7140,24,0.6590539016873062,-0.010869658085386789,0.3240921218009597,14168,842520,0.01681621801262878,0,14280,0.0
InfoNCE,120,7140,25,0.6592331449921225,-0.010934829312074654,0.3241491578400239,10589,842520,0.012568247638038266,0,14280,0.0
InfoNCE,120,7140,26,0.6589145975182203,-0.010934259925696369,0.32399016879626197,7344,842520,0.008716707021791767,0,14280,0.0
InfoNCE,120,7140,27,0.6594814283131551,-0.01087043992701092,0.32430549419307214,4991,842520,0.0059238949817215026,0,14280,0.0
InfoNCE,120,7140,28,0.6569976378472245,-0.01086488487189711,0.32306637648766373,3735,842520,0.004433129183876941,0,14280,0.0
InfoNCE,120,7140,29,0.6580299870765843,-0.01081883823366028,0.32360557442146204,1698,842520,0.002015382424156103,0,14280,0.0
InfoNCE,120,7140,30,0.6589556432342162,-0.010933922985648685,0.32401086012428376,1300,842520,0.001542990077386887,0,14280,0.0
InfoNCE,140,9730,5,0.5293865270001425,-0.00453898745600677,0.2624237697720679,509641,1342740,0.379553003559885,0,19460,0.0
InfoNCE,140,9730,6,0.5313262504149316,-0.004552139658946874,0.2633870553779924,448725,1342740,0.33418606729523215,0,19460,0.0
InfoNCE,140,9730,7,0.5560903974957113,-0.007940875269138746,0.27407476111328627,385187,1342740,0.28686640749512193,0,19460,0.0
InfoNCE,140,9730,8,0.5650454690743081,-0.009293231343771758,0.27787611886526814,332844,1342740,0.2478841771303454,0,19460,0.0
